E-MBT;E-BSL;E-GER;CO2rate;;G-AVE
43.81390537;39.83970569;39.83970569;0;;37.0286642
43.81390537;39.83970569;39.83970569;0;;37.0286642
43.81390537;39.83970569;39.83970569;0;;37.0286642
43.81390537;15.594645;39.83970569;0;;37.0286642
43.81390537;15.594645;39.83970569;0;;37.0286642
43.81390537;15.594645;39.83970569;0;;37.0286642
43.81390537;15.594645;39.83970569;0;;37.0286642
43.81390537;15.594645;39.83970569;0;;37.0286642
43.81390537;43.81390537;43.81390537;0;;37.0286642
63.18890769;63.18890769;63.18890769;0.005433741;;37.0286642
63.18890769;63.18890769;63.18890769;0.013963982;;37.0286642
63.18890769;63.18890769;63.18890769;0.014773441;;37.0286642
63.18890769;63.18890769;63.18890769;0.019026083;;37.0286642
63.18890769;63.18890769;63.18890769;0.015189717;;37.0286642
63.18890769;63.18890769;63.18890769;0.014333924;;37.0286642
63.18890769;63.18890769;63.18890769;0.019130591;;35.91215437
63.18890769;63.18890769;63.18890769;0.02110013;;35.85134461
63.18890769;63.18890769;63.18890769;0.028736356;;35.85134461
63.18890769;63.18890769;63.18890769;0.036611026;;35.85134461
63.18890769;63.18890769;63.18890769;0.048775656;;35.85134461
50.10391256;63.18890769;63.18890769;0.045452383;;35.85134461
50.10391256;63.18890769;63.18890769;0.045207205;;35.85134461
50.10391256;62.48444034;62.48444034;0.019909524;;37.0286642
50.10391256;63.18890769;63.18890769;0.030286191;;37.0286642
63.18890769;63.18890769;63.18890769;0.024245669;;37.0286642
63.18890769;63.18890769;63.18890769;0.015337338;;37.0286642
63.18890769;63.18890769;63.18890769;0.011420866;;37.0286642
63.18890769;63.18890769;63.18890769;0.004397485;;37.0286642
50.10391256;50.10391256;50.10391256;0;;37.0286642
50.10391256;50.10391256;50.10391256;0;;37.0286642
50.10391256;50.10391256;50.10391256;0;;37.0286642
50.10391256;50.10391256;50.10391256;0;;37.0286642
50.10391256;50.10391256;50.10391256;0;;37.0286642
63.18890769;63.18890769;63.18890769;0.00579552;;37.0286642
63.18890769;63.18890769;63.18890769;0.008291732;;37.0286642
63.18890769;63.18890769;63.18890769;0.007257526;;37.0286642
63.18890769;63.18890769;63.18890769;0.00796514;;37.0286642
63.18890769;63.18890769;63.18890769;0.003817198;;37.0286642
57.51147958;57.51147958;57.51147958;0;;37.0286642
57.07202717;39.532089;39.532089;0;;35.85134461
39.88096015;39.532089;39.532089;0;;35.85134461
39.532089;39.532089;39.532089;0;;35.85134461
39.532089;39.532089;39.532089;0;;35.85134461
39.532089;39.532089;39.532089;0;;35.85134461
39.532089;39.532089;39.532089;0;;35.85134461
39.532089;39.532089;39.532089;0;;35.85134461
39.532089;39.532089;39.532089;0;;35.85134461
39.532089;39.532089;39.532089;0;;35.85134461
39.532089;39.532089;39.532089;0;;37.0286642
39.88096015;39.532089;39.532089;0;;37.0286642
39.88096015;39.532089;39.532089;0;;35.91215437
39.532089;39.532089;39.532089;0;;36.99773637
39.532089;39.532089;39.532089;0;;36.99773637
39.83970569;39.83970569;39.83970569;0;;35.91215437
39.88096015;39.88096015;39.88096015;0;;35.91215437
39.88096015;39.88096015;39.88096015;0;;35.91215437
49.97412825;49.97412825;49.97412825;0;;35.91215437
49.97412825;49.97412825;49.97412825;0;;36.99773637
49.97412825;49.97412825;49.97412825;0;;37.0286642
49.97412825;49.97412825;49.97412825;0;;37.0286642
39.88096015;39.83970569;39.83970569;0;;36.99773637
39.88096015;39.532089;39.532089;0;;35.91215437
39.532089;39.532089;39.532089;0;;35.85134461
39.532089;39.532089;39.532089;0;;35.85134461
39.532089;39.532089;39.532089;0;;35.71325495
39.532089;39.532089;39.532089;0;;35.85134461
39.532089;39.532089;39.532089;0;;35.85134461
39.532089;39.532089;39.532089;0;;35.85134461
39.532089;39.532089;39.532089;0;;35.85134461
39.532089;39.532089;39.532089;0;;35.85134461
39.532089;49.97412825;49.97412825;0;;35.85134461
39.532089;49.97412825;49.97412825;0;;35.85134461
49.97412825;49.97412825;49.97412825;0;;37.0286642
49.97412825;49.97412825;49.97412825;0;;37.0286642
39.88096015;39.88096015;39.88096015;0;;36.99773637
39.532089;39.532089;39.532089;0;;36.99773637
39.532089;39.532089;39.532089;0;;35.85134461
39.532089;39.532089;39.532089;0;;35.85134461
39.532089;39.532089;39.532089;0;;35.85134461
39.532089;39.532089;39.532089;0;;35.30015437
39.532089;39.532089;39.532089;0;;37.0286642
39.83970569;39.83970569;39.83970569;0;;37.0286642
57.07202717;57.07202717;57.07202717;0;;37.0286642
57.07202717;57.07202717;57.07202717;0;;37.0286642
57.07202717;57.07202717;57.07202717;0;;37.0286642
57.07202717;57.07202717;57.07202717;0;;36.18572702
57.07202717;57.07202717;57.07202717;0;;35.91215437
57.07202717;57.07202717;57.07202717;0;;34.65891726
57.07202717;57.07202717;57.07202717;0.006463769;;33.6286642
39.532089;39.532089;39.532089;0;;33.6286642
39.532089;39.532089;39.532089;0;;33.6286642
39.532089;39.532089;39.532089;0;;33.6286642
39.532089;39.532089;39.532089;0;;33.6286642
39.532089;39.532089;39.532089;0;;33.6286642
39.532089;39.532089;39.532089;0;;33.6286642
39.532089;39.532089;39.532089;0;;37.0286642
39.532089;39.532089;39.532089;0;;37.0286642
39.532089;39.532089;39.532089;0;;37.0286642
39.532089;39.532089;39.532089;0;;37.0286642
39.532089;15.594645;31.42455096;0;;37.0286642
39.532089;15.594645;31.42455096;0;;37.0286642
39.532089;15.594645;31.42455096;0;;37.0286642
39.532089;15.594645;31.42455096;0;;37.0286642
39.532089;15.594645;31.42455096;0;;37.0286642
39.532089;15.594645;39.532089;0;;37.0286642
39.532089;15.594645;39.532089;0;;37.0286642
39.88096015;39.83970569;39.83970569;0;;37.0286642
57.57041452;39.83970569;39.83970569;0;;37.0286642
57.57041452;39.83970569;39.83970569;0;;37.0286642
57.57041452;39.83970569;39.83970569;0;;37.0286642
57.57041452;39.83970569;39.83970569;0;;35.91215437
57.57041452;39.532089;39.532089;0;;35.85134461
57.57041452;39.532089;39.532089;0;;35.85134461
57.57041452;39.532089;39.532089;0;;35.03933526
39.88096015;39.532089;39.532089;0;;35.03933526
39.88096015;31.17845761;31.17845761;0;;34.65891726
39.88096015;31.17845761;31.17845761;0;;35.03933526
39.88096015;15.594645;31.17845761;0;;35.7760719
39.88096015;15.594645;31.17845761;0;;35.85134461
39.88096015;15.594645;31.17845761;0;;37.0286642
39.88096015;15.594645;39.532089;0;;37.0286642
39.88096015;15.594645;39.532089;0;;37.0286642
39.88096015;15.594645;39.532089;0;;37.0286642
39.88096015;15.594645;31.17845761;0;;37.0286642
39.88096015;15.594645;31.17845761;0;;37.0286642
39.88096015;15.594645;31.17845761;0;;37.0286642
39.88096015;15.594645;31.17845761;0;;37.0286642
39.88096015;15.594645;39.532089;0;;37.0286642
39.88096015;15.594645;39.532089;0;;37.0286642
39.88096015;20.05232324;39.532089;0;;37.0286642
57.57041452;20.05232324;39.532089;0;;37.0286642
57.57041452;20.05232324;39.532089;0;;37.0286642
57.57041452;20.05232324;39.532089;0;;37.0286642
57.57041452;15.594645;39.532089;0;;37.0286642
57.57041452;15.594645;39.532089;0;;37.0286642
57.57041452;15.594645;31.17845761;0;;35.91215437
